scientificName;class;order;family;status;list
Litoblatta camargoi;Insecta;Blattaria;Blattellidae;EN;MMA 2022
Erotylopsis pujoli;Insecta;Coleoptera;Anthribidae;DD;ICMBIO 2018
Hylotribus frontispeltastes;Insecta;Coleoptera;Anthribidae;LC;ICMBIO 2018
Hylotribus gauchus;Insecta;Coleoptera;Anthribidae;DD;ICMBIO 2018
Hylotribus involucer;Insecta;Coleoptera;Anthribidae;DD;ICMBIO 2018
Hylotribus plaumanni;Insecta;Coleoptera;Anthribidae;DD;ICMBIO 2018
Hylotribus sublimis;Insecta;Coleoptera;Anthribidae;DD;ICMBIO 2018
Hypselotropis limodes;Insecta;Coleoptera;Anthribidae;DD;ICMBIO 2018
Hypselotropis pectoralis;Insecta;Coleoptera;Anthribidae;LC;ICMBIO 2018
Ptychoderes brevis;Insecta;Coleoptera;Anthribidae;LC;ICMBIO 2018
Ptychoderes crustatus;Insecta;Coleoptera;Anthribidae;LC;ICMBIO 2018
Ptychoderes jekeli;Insecta;Coleoptera;Anthribidae;LC;ICMBIO 2018
Ptychoderes longicollis;Insecta;Coleoptera;Anthribidae;LC;ICMBIO 2018
Ptychoderes obsoletus;Insecta;Coleoptera;Anthribidae;LC;ICMBIO 2018
Erotylopsis pujoli;Insecta;Coleoptera;Anthribidae;LC;MMA 2022
Hylotribus frontispeltastes;Insecta;Coleoptera;Anthribidae;LC;MMA 2022
Hylotribus gauchus;Insecta;Coleoptera;Anthribidae;DD;MMA 2022
Hylotribus involucer;Insecta;Coleoptera;Anthribidae;DD;MMA 2022
Hylotribus plaumanni;Insecta;Coleoptera;Anthribidae;LC;MMA 2022
Hylotribus sublimis;Insecta;Coleoptera;Anthribidae;LC;MMA 2022
Hypselotropis limodes;Insecta;Coleoptera;Anthribidae;DD;MMA 2022
Hypselotropis pectoralis;Insecta;Coleoptera;Anthribidae;LC;MMA 2022
Ptychoderes brevis;Insecta;Coleoptera;Anthribidae;LC;MMA 2022
Ptychoderes crustatus;Insecta;Coleoptera;Anthribidae;LC;MMA 2022
Ptychoderes jekeli;Insecta;Coleoptera;Anthribidae;LC;MMA 2022
Ptychoderes longicollis;Insecta;Coleoptera;Anthribidae;LC;MMA 2022
Ptychoderes obsoletus;Insecta;Coleoptera;Anthribidae;LC;MMA 2022
Agrilus oceanicus;Insecta;Coleoptera;Buprestidae;NT;MMA 2022
Micrasta alvarengai;Insecta;Coleoptera;Buprestidae;NT;MMA 2022
Coarazuphium bezerra;Insecta;Coleoptera;Carabidae;VU;ICMBIO 2018
Coarazuphium caatinga;Insecta;Coleoptera;Carabidae;EN;ICMBIO 2018
Coarazuphium cessaima;Insecta;Coleoptera;Carabidae;CR;ICMBIO 2018
Coarazuphium formoso;Insecta;Coleoptera;Carabidae;VU;ICMBIO 2018
Coarazuphium pains;Insecta;Coleoptera;Carabidae;EN;ICMBIO 2018
Coarazuphium ricardoi;Insecta;Coleoptera;Carabidae;CR;ICMBIO 2018
Coarazuphium tapiaguassu;Insecta;Coleoptera;Carabidae;CR;ICMBIO 2018
Coarazuphium tessai;Insecta;Coleoptera;Carabidae;CR;ICMBIO 2018
Schizogenius ocellatus;Insecta;Coleoptera;Carabidae;EN;ICMBIO 2018
Coarazuphium amazonicus;Insecta;Coleoptera;Carabidae;CR;MMA 2022
Coarazuphium bezerra;Insecta;Coleoptera;Carabidae;DD;MMA 2022
Coarazuphium caatinga;Insecta;Coleoptera;Carabidae;EN;MMA 2022
Coarazuphium cessaima;Insecta;Coleoptera;Carabidae;EN;MMA 2022
Coarazuphium formoso;Insecta;Coleoptera;Carabidae;CR;MMA 2022
Coarazuphium pains;Insecta;Coleoptera;Carabidae;EN;MMA 2022
Coarazuphium ricardoi;Insecta;Coleoptera;Carabidae;CR;MMA 2022
Coarazuphium spinifemur;Insecta;Coleoptera;Carabidae;CR;MMA 2022
Coarazuphium tapiaguassu;Insecta;Coleoptera;Carabidae;EN;MMA 2022
Coarazuphium tessai;Insecta;Coleoptera;Carabidae;CR;MMA 2022
Schizogenius ocellatus;Insecta;Coleoptera;Carabidae;EN;MMA 2022
Aleiphaquilon taeniatum;Insecta;Coleoptera;Cerambycidae;DD;ICMBIO 2018
Amphelissoeme viridescens;Insecta;Coleoptera;Cerambycidae;DD;ICMBIO 2018
Antodice spilota;Insecta;Coleoptera;Cerambycidae;DD;ICMBIO 2018
Apagomerina subtilis;Insecta;Coleoptera;Cerambycidae;DD;ICMBIO 2018
Atrocolus mariahelenae;Insecta;Coleoptera;Cerambycidae;DD;ICMBIO 2018
Calycibidion turbidum;Insecta;Coleoptera;Cerambycidae;DD;ICMBIO 2018
Ceralocyna coccinea;Insecta;Coleoptera;Cerambycidae;DD;ICMBIO 2018
Chydarteres striatellus;Insecta;Coleoptera;Cerambycidae;DD;ICMBIO 2018
Cosmisoma lividum;Insecta;Coleoptera;Cerambycidae;DD;ICMBIO 2018
Cosmisoma seabrai;Insecta;Coleoptera;Cerambycidae;DD;ICMBIO 2018
Cupanoscelis inermis;Insecta;Coleoptera;Cerambycidae;DD;ICMBIO 2018
Cupanoscelis latitibialis;Insecta;Coleoptera;Cerambycidae;DD;ICMBIO 2018
Eriphosoma mermudes;Insecta;Coleoptera;Cerambycidae;DD;ICMBIO 2018
Hexoplon scutellare;Insecta;Coleoptera;Cerambycidae;DD;ICMBIO 2018
Ischioderes bahiensis;Insecta;Coleoptera;Cerambycidae;DD;ICMBIO 2018
Lepturges cinereolus;Insecta;Coleoptera;Cerambycidae;DD;ICMBIO 2018
Lissoeme maculata;Insecta;Coleoptera;Cerambycidae;DD;ICMBIO 2018
Macrodontia cervicornis;Insecta;Coleoptera;Cerambycidae;LC;ICMBIO 2018
Mephritus citreus;Insecta;Coleoptera;Cerambycidae;DD;ICMBIO 2018
Panegyrtes fraternus;Insecta;Coleoptera;Cerambycidae;DD;ICMBIO 2018
Pharcidodes nigripennis;Insecta;Coleoptera;Cerambycidae;DD;ICMBIO 2018
Plaumanniella novateutoniae;Insecta;Coleoptera;Cerambycidae;DD;ICMBIO 2018
Pseudomecas nigricornis;Insecta;Coleoptera;Cerambycidae;LC;ICMBIO 2018
Pseudoplon transversum;Insecta;Coleoptera;Cerambycidae;DD;ICMBIO 2018
Quatiara luctuosa;Insecta;Coleoptera;Cerambycidae;LC;ICMBIO 2018
Rhaphiptera melzeri;Insecta;Coleoptera;Cerambycidae;DD;ICMBIO 2018
Sangaris albida;Insecta;Coleoptera;Cerambycidae;DD;ICMBIO 2018
Spinoplon bicolor;Insecta;Coleoptera;Cerambycidae;DD;ICMBIO 2018
Spinoplon inusitatum;Insecta;Coleoptera;Cerambycidae;DD;ICMBIO 2018
Stultutragus endoluteus;Insecta;Coleoptera;Cerambycidae;DD;ICMBIO 2018
Trichotithonus albidus;Insecta;Coleoptera;Cerambycidae;DD;ICMBIO 2018
Macrodontia cervicornis;Insecta;Coleoptera;Cerambycidae;VU;IUCN 2024
Aegomorphus juno;Insecta;Coleoptera;Cerambycidae;DD;MMA 2022
Aegomorphus ridleyi;Insecta;Coleoptera;Cerambycidae;NT;MMA 2022
Aleiphaquilon taeniatum;Insecta;Coleoptera;Cerambycidae;DD;MMA 2022
Amphelissoeme viridescens;Insecta;Coleoptera;Cerambycidae;DD;MMA 2022
Antodice spilota;Insecta;Coleoptera;Cerambycidae;DD;MMA 2022
Apagomerina subtilis;Insecta;Coleoptera;Cerambycidae;DD;MMA 2022
Atrocolus mariahelenae;Insecta;Coleoptera;Cerambycidae;DD;MMA 2022
Calycibidion turbidum;Insecta;Coleoptera;Cerambycidae;DD;MMA 2022
Ceralocyna coccinea;Insecta;Coleoptera;Cerambycidae;DD;MMA 2022
Chydarteres striatellus;Insecta;Coleoptera;Cerambycidae;DD;MMA 2022
Cosmisoma lividum;Insecta;Coleoptera;Cerambycidae;NT;MMA 2022
Cosmisoma seabrai;Insecta;Coleoptera;Cerambycidae;NT;MMA 2022
Cupanoscelis inermis;Insecta;Coleoptera;Cerambycidae;DD;MMA 2022
Cupanoscelis latitibialis;Insecta;Coleoptera;Cerambycidae;NT;MMA 2022
Eriphosoma mermudes;Insecta;Coleoptera;Cerambycidae;DD;MMA 2022
Hexoplon scutellare;Insecta;Coleoptera;Cerambycidae;DD;MMA 2022
Ischioderes bahiensis;Insecta;Coleoptera;Cerambycidae;NT;MMA 2022
Leptocometes virescens;Insecta;Coleoptera;Cerambycidae;DD;MMA 2022
Lepturges cinereolus;Insecta;Coleoptera;Cerambycidae;DD;MMA 2022
Lissoeme maculata;Insecta;Coleoptera;Cerambycidae;DD;MMA 2022
Macrodontia cervicornis;Insecta;Coleoptera;Cerambycidae;LC;MMA 2022
Mephritus citreus;Insecta;Coleoptera;Cerambycidae;NT;MMA 2022
Panegyrtes fraternus;Insecta;Coleoptera;Cerambycidae;DD;MMA 2022
Pharcidodes nigripennis;Insecta;Coleoptera;Cerambycidae;LC;MMA 2022
Plaumanniella novateutoniae;Insecta;Coleoptera;Cerambycidae;LC;MMA 2022
Pseudomecas nigricornis;Insecta;Coleoptera;Cerambycidae;LC;MMA 2022
Pseudoplon transversum;Insecta;Coleoptera;Cerambycidae;DD;MMA 2022
Quatiara luctuosa;Insecta;Coleoptera;Cerambycidae;LC;MMA 2022
Rhaphiptera melzeri;Insecta;Coleoptera;Cerambycidae;DD;MMA 2022
Sangaris albida;Insecta;Coleoptera;Cerambycidae;DD;MMA 2022
Spinoplon bicolor;Insecta;Coleoptera;Cerambycidae;DD;MMA 2022
Spinoplon inusitatum;Insecta;Coleoptera;Cerambycidae;DD;MMA 2022
Strangalia melanura;Insecta;Coleoptera;Cerambycidae;LC;MMA 2022
Stultutragus endoluteus;Insecta;Coleoptera;Cerambycidae;LC;MMA 2022
Taurorcus chabrillacii;Insecta;Coleoptera;Cerambycidae;DD;MMA 2022
Taurorcus mourei;Insecta;Coleoptera;Cerambycidae;DD;MMA 2022
Trichotithonus albidus;Insecta;Coleoptera;Cerambycidae;DD;MMA 2022
Trypanidius isolatus;Insecta;Coleoptera;Cerambycidae;NT;MMA 2022
Anisobrotica donckieri;Insecta;Coleoptera;Chrysomelidae;LC;ICMBIO 2018
Canistra bitorosa;Insecta;Coleoptera;Chrysomelidae;LC;ICMBIO 2018
Chlorolochmaea paralella);Insecta;Coleoptera;Chrysomelidae;LC;ICMBIO 2018
Diabrotica propylaea;Insecta;Coleoptera;Chrysomelidae;DD;ICMBIO 2018
Diabrotica sheba;Insecta;Coleoptera;Chrysomelidae;DD;ICMBIO 2018
Doryphora reticulata;Insecta;Coleoptera;Chrysomelidae;LC;ICMBIO 2018
Elytrosphaera lahtivirtai;Insecta;Coleoptera;Chrysomelidae;LC;ICMBIO 2018
Ensiforma asteria;Insecta;Coleoptera;Chrysomelidae;LC;ICMBIO 2018
Ensiforma caerulea;Insecta;Coleoptera;Chrysomelidae;DD;ICMBIO 2018
Isotes onira;Insecta;Coleoptera;Chrysomelidae;LC;ICMBIO 2018
Monocesta androgyna;Insecta;Coleoptera;Chrysomelidae;DD;ICMBIO 2018
Monocesta rubiginosa;Insecta;Coleoptera;Chrysomelidae;LC;ICMBIO 2018
Polychalca cariosa;Insecta;Coleoptera;Chrysomelidae;LC;ICMBIO 2018
Polychalca punctatissima;Insecta;Coleoptera;Chrysomelidae;LC;ICMBIO 2018
Schematiza aneurica;Insecta;Coleoptera;Chrysomelidae;DD;ICMBIO 2018
Sennius maculatus;Insecta;Coleoptera;Chrysomelidae;NA;ICMBIO 2018
Anisobrotica donckieri;Insecta;Coleoptera;Chrysomelidae;LC;MMA 2022
Canistra bitorosa;Insecta;Coleoptera;Chrysomelidae;LC;MMA 2022
Chaetocnema fernandoensis;Insecta;Coleoptera;Chrysomelidae;LC;MMA 2022
Chlorolochmaea paralella;Insecta;Coleoptera;Chrysomelidae;LC;MMA 2022
Diabrotica propylaea;Insecta;Coleoptera;Chrysomelidae;LC;MMA 2022
Diabrotica sheba;Insecta;Coleoptera;Chrysomelidae;DD;MMA 2022
Doryphora reticulata;Insecta;Coleoptera;Chrysomelidae;LC;MMA 2022
Elytrosphaera lahtivirtai;Insecta;Coleoptera;Chrysomelidae;LC;MMA 2022
Ensiforma asteria;Insecta;Coleoptera;Chrysomelidae;LC;MMA 2022
Ensiforma caerulea;Insecta;Coleoptera;Chrysomelidae;LC;MMA 2022
Isotes onira;Insecta;Coleoptera;Chrysomelidae;LC;MMA 2022
Monocesta androgyna;Insecta;Coleoptera;Chrysomelidae;DD;MMA 2022
Monocesta rubiginosa;Insecta;Coleoptera;Chrysomelidae;LC;MMA 2022
Polychalca cariosa;Insecta;Coleoptera;Chrysomelidae;LC;MMA 2022
Polychalca punctatissima;Insecta;Coleoptera;Chrysomelidae;LC;MMA 2022
Schematiza aneurica;Insecta;Coleoptera;Chrysomelidae;LC;MMA 2022
Ceracis cassumbensis;Insecta;Coleoptera;Ciidae;EN;ICMBIO 2018
Ceracis lamellatus;Insecta;Coleoptera;Ciidae;DD;ICMBIO 2018
Cis bahiensis;Insecta;Coleoptera;Ciidae;DD;ICMBIO 2018
Cis testaceimembris;Insecta;Coleoptera;Ciidae;DD;ICMBIO 2018
Falsocis brasiliensis;Insecta;Coleoptera;Ciidae;LC;ICMBIO 2018
Falsocis egregius;Insecta;Coleoptera;Ciidae;DD;ICMBIO 2018
Falsocis occultus;Insecta;Coleoptera;Ciidae;LC;ICMBIO 2018
Falsocis opacus;Insecta;Coleoptera;Ciidae;LC;ICMBIO 2018
Ceracis cassumbensis;Insecta;Coleoptera;Ciidae;EN;MMA 2022
Ceracis lamellatus;Insecta;Coleoptera;Ciidae;DD;MMA 2022
Cis bahiensis;Insecta;Coleoptera;Ciidae;DD;MMA 2022
Cis testaceimembris;Insecta;Coleoptera;Ciidae;DD;MMA 2022
Falsocis brasiliensis;Insecta;Coleoptera;Ciidae;LC;MMA 2022
Falsocis egregius;Insecta;Coleoptera;Ciidae;LC;MMA 2022
Falsocis occultus;Insecta;Coleoptera;Ciidae;LC;MMA 2022
Falsocis opacus;Insecta;Coleoptera;Ciidae;LC;MMA 2022
Paracupes brasiliensis;Insecta;Coleoptera;Cupedidae;DD;ICMBIO 2018
Paracupes brasiliensis;Insecta;Coleoptera;Cupedidae;NT;MMA 2022
Pycnarthrum setulosum;Insecta;Coleoptera;Curculionidae;DD;MMA 2022
Copelatus cessaima;Insecta;Coleoptera;Dytiscidae;CR;ICMBIO 2018
Megadytes ducalis;Insecta;Coleoptera;Dytiscidae;DD;ICMBIO 2018
Platynectes undecimguttatus;Insecta;Coleoptera;Dytiscidae;DD;ICMBIO 2018
Rhantus orbignyi;Insecta;Coleoptera;Dytiscidae;DD;ICMBIO 2018
Thermonectus alfredi;Insecta;Coleoptera;Dytiscidae;DD;ICMBIO 2018
Thermonectus batesi;Insecta;Coleoptera;Dytiscidae;LC;ICMBIO 2018
Thermonectus depictus;Insecta;Coleoptera;Dytiscidae;DD;ICMBIO 2018
Thermonectus simulator;Insecta;Coleoptera;Dytiscidae;LC;ICMBIO 2018
Megadytes ducalis;Insecta;Coleoptera;Dytiscidae;EX;IUCN 2024
Rhantus orbignyi;Insecta;Coleoptera;Dytiscidae;EX;IUCN 2024
Copelatus cessaima;Insecta;Coleoptera;Dytiscidae;EN;MMA 2022
Megadytes ducalis;Insecta;Coleoptera;Dytiscidae;DD;MMA 2022
Meridiorhantus orbignyi;Insecta;Coleoptera;Dytiscidae;DD;MMA 2022
Platynectes undecimguttatus;Insecta;Coleoptera;Dytiscidae;LC;MMA 2022
Thermonectus alfredi;Insecta;Coleoptera;Dytiscidae;DD;MMA 2022
Thermonectus batesi;Insecta;Coleoptera;Dytiscidae;LC;MMA 2022
Thermonectus depictus;Insecta;Coleoptera;Dytiscidae;LC;MMA 2022
Thermonectus simulator;Insecta;Coleoptera;Dytiscidae;LC;MMA 2022
Cardiophorus insularis;Insecta;Coleoptera;Elateridae;LC;MMA 2022
Pyrearinus alvarengai;Insecta;Coleoptera;Elateridae;DD;MMA 2022
Amydetes bellorum;Insecta;Coleoptera;Lampyridae;EN;ICMBIO 2018
Amydetes lucioloides;Insecta;Coleoptera;Lampyridae;LC;ICMBIO 2018
Memoan ciceroi;Insecta;Coleoptera;Lampyridae;DD;ICMBIO 2018
Ybytyramoan diasi;Insecta;Coleoptera;Lampyridae;LC;ICMBIO 2018
Ybytyramoan monteirorum;Insecta;Coleoptera;Lampyridae;LC;ICMBIO 2018
Ybytyramoan praeclarum;Insecta;Coleoptera;Lampyridae;LC;ICMBIO 2018
Amydetes bellorum;Insecta;Coleoptera;Lampyridae;EN;MMA 2022
Amydetes lucioloides;Insecta;Coleoptera;Lampyridae;LC;MMA 2022
Memoan fruhstorferi;Insecta;Coleoptera;Lampyridae;DD;MMA 2022
Ybytyramoan diasi;Insecta;Coleoptera;Lampyridae;LC;MMA 2022
Ybytyramoan monteirorum;Insecta;Coleoptera;Lampyridae;LC;MMA 2022
Ybytyramoan praeclarum;Insecta;Coleoptera;Lampyridae;LC;MMA 2022
Aegognathus spitzi;Insecta;Coleoptera;Lucanidae;LC;ICMBIO 2018
Altitatiayus campoi;Insecta;Coleoptera;Lucanidae;VU;ICMBIO 2018
Altitatiayus dulceae;Insecta;Coleoptera;Lucanidae;VU;ICMBIO 2018
Altitatiayus godinhorum;Insecta;Coleoptera;Lucanidae;VU;ICMBIO 2018
Altitatiayus koikei;Insecta;Coleoptera;Lucanidae;VU;ICMBIO 2018
Altitatiayus rotundatus;Insecta;Coleoptera;Lucanidae;VU;ICMBIO 2018
Altitatiayus ruficollis;Insecta;Coleoptera;Lucanidae;VU;ICMBIO 2018
Altitatiayus trifurcatus;Insecta;Coleoptera;Lucanidae;VU;ICMBIO 2018
Leptinopterus paranensis;Insecta;Coleoptera;Lucanidae;LC;ICMBIO 2018
Leptinopterus suturalis;Insecta;Coleoptera;Lucanidae;LC;ICMBIO 2018
Psilodon schuberti;Insecta;Coleoptera;Lucanidae;DD;ICMBIO 2018
Scortizus maculatus;Insecta;Coleoptera;Lucanidae;LC;ICMBIO 2018
Zikanius aurocinctus;Insecta;Coleoptera;Lucanidae;DD;ICMBIO 2018
Aegognathus spitzi;Insecta;Coleoptera;Lucanidae;LC;MMA 2022
Altitatiayus campoi;Insecta;Coleoptera;Lucanidae;VU;MMA 2022
Altitatiayus dulceae;Insecta;Coleoptera;Lucanidae;VU;MMA 2022
Altitatiayus godinhorum;Insecta;Coleoptera;Lucanidae;VU;MMA 2022
Altitatiayus koikei;Insecta;Coleoptera;Lucanidae;VU;MMA 2022
Altitatiayus rotundatus;Insecta;Coleoptera;Lucanidae;VU;MMA 2022
Altitatiayus ruficollis;Insecta;Coleoptera;Lucanidae;VU;MMA 2022
Altitatiayus trifurcatus;Insecta;Coleoptera;Lucanidae;VU;MMA 2022
Leptinopterus paranensis;Insecta;Coleoptera;Lucanidae;LC;MMA 2022
Leptinopterus suturalis;Insecta;Coleoptera;Lucanidae;LC;MMA 2022
Psilodon schuberti;Insecta;Coleoptera;Lucanidae;LC;MMA 2022
Scortizus maculatus;Insecta;Coleoptera;Lucanidae;LC;MMA 2022
Zikanius aurocinctus;Insecta;Coleoptera;Lucanidae;DD;MMA 2022
Cartagonum apiuba;Insecta;Coleoptera;Lycidae;CR;ICMBIO 2018
Lycomorphon amazonicum;Insecta;Coleoptera;Lycidae;LC;ICMBIO 2018
Lycomorphon brasiliense;Insecta;Coleoptera;Lycidae;CR;ICMBIO 2018
Picomicrolycus ireneae;Insecta;Coleoptera;Lycidae;LC;ICMBIO 2018
Plateros brasiliensis;Insecta;Coleoptera;Lycidae;LC;ICMBIO 2018
Plateros curtebilineatus;Insecta;Coleoptera;Lycidae;DD;ICMBIO 2018
Plateros grandjeani;Insecta;Coleoptera;Lycidae;DD;ICMBIO 2018
Plateros inhumeralis;Insecta;Coleoptera;Lycidae;LC;ICMBIO 2018
Plateros plaumanni;Insecta;Coleoptera;Lycidae;DD;ICMBIO 2018
Cartagonum apiuba;Insecta;Coleoptera;Lycidae;CR;MMA 2022
Lycomorphon amazonicum;Insecta;Coleoptera;Lycidae;LC;MMA 2022
Lycomorphon brasiliense;Insecta;Coleoptera;Lycidae;CR;MMA 2022
Picomicrolycus ireneae;Insecta;Coleoptera;Lycidae;LC;MMA 2022
Plateros brasiliensis;Insecta;Coleoptera;Lycidae;LC;MMA 2022
Plateros curtebilineatus;Insecta;Coleoptera;Lycidae;DD;MMA 2022
Plateros grandjeani;Insecta;Coleoptera;Lycidae;DD;MMA 2022
Plateros inhumeralis;Insecta;Coleoptera;Lycidae;LC;MMA 2022
Plateros plaumanni;Insecta;Coleoptera;Lycidae;DD;MMA 2022
Agacephala margaridae;Insecta;Coleoptera;Melolonthidae;LC;ICMBIO 2018
Dynastes hercules;Insecta;Coleoptera;Melolonthidae;NT;ICMBIO 2018
Megasoma anubis;Insecta;Coleoptera;Melolonthidae;LC;ICMBIO 2018
Megasoma gyas;Insecta;Coleoptera;Melolonthidae;LC;ICMBIO 2018
Megasoma gyas;Insecta;Coleoptera;Melolonthidae;LC;ICMBIO 2018
Megasoma janus;Insecta;Coleoptera;Melolonthidae;LC;ICMBIO 2018
Agaocephala margaridae;Insecta;Coleoptera;Melolonthidae;LC;MMA 2022
Dynastes paschoali;Insecta;Coleoptera;Melolonthidae;LC;MMA 2022
Megasoma anubis;Insecta;Coleoptera;Melolonthidae;LC;MMA 2022
Megasoma gyas;Insecta;Coleoptera;Melolonthidae;LC;MMA 2022
Megasoma janus;Insecta;Coleoptera;Melolonthidae;LC;MMA 2022
Megasoma typhon;Insecta;Coleoptera;Melolonthidae;LC;MMA 2022
Passalus brevifrons;Insecta;Coleoptera;Passalidae;DD;ICMBIO 2018
Passalus gravelyi;Insecta;Coleoptera;Passalidae;LC;ICMBIO 2018
Passalus interruptus;Insecta;Coleoptera;Passalidae;LC;ICMBIO 2018
Passalus itatiaiae;Insecta;Coleoptera;Passalidae;DD;ICMBIO 2018
Passalus nasutus;Insecta;Coleoptera;Passalidae;LC;ICMBIO 2018
Passalus neivai;Insecta;Coleoptera;Passalidae;DD;ICMBIO 2018
Passalus pauloensis;Insecta;Coleoptera;Passalidae;LC;ICMBIO 2018
Passalus procerus;Insecta;Coleoptera;Passalidae;DD;ICMBIO 2018
Passalus striatissimus;Insecta;Coleoptera;Passalidae;DD;ICMBIO 2018
Passalus zikani;Insecta;Coleoptera;Passalidae;LC;ICMBIO 2018
Passipassalus buhrnheimi;Insecta;Coleoptera;Passalidae;DD;ICMBIO 2018
Paxillus reyesi;Insecta;Coleoptera;Passalidae;LC;ICMBIO 2018
Popilius refugicornis;Insecta;Coleoptera;Passalidae;DD;ICMBIO 2018
Ptichopus melzeri;Insecta;Coleoptera;Passalidae;DD;ICMBIO 2018
Veturius munitus;Insecta;Coleoptera;Passalidae;LC;ICMBIO 2018
Passalus interruptus;Insecta;Coleoptera;Passalidae;LC;MMA 2022
Passalus nasutus;Insecta;Coleoptera;Passalidae;LC;MMA 2022
Passalus pauloensis;Insecta;Coleoptera;Passalidae;LC;MMA 2022
Passalus procerus;Insecta;Coleoptera;Passalidae;LC;MMA 2022
Passalus zikani;Insecta;Coleoptera;Passalidae;LC;MMA 2022
Passipassalus buhrnheimi;Insecta;Coleoptera;Passalidae;LC;MMA 2022
Paxillus reyesi;Insecta;Coleoptera;Passalidae;LC;MMA 2022
Pertinax gravelyi;Insecta;Coleoptera;Passalidae;LC;MMA 2022
Pertinax itatiayae;Insecta;Coleoptera;Passalidae;LC;MMA 2022
Pertinax neivai;Insecta;Coleoptera;Passalidae;LC;MMA 2022
Pertinax striatissimus;Insecta;Coleoptera;Passalidae;LC;MMA 2022
Popilius refugicornis;Insecta;Coleoptera;Passalidae;LC;MMA 2022
Veturius munitus;Insecta;Coleoptera;Passalidae;LC;MMA 2022
Ateuchus squalidus;Insecta;Coleoptera;Scarabaeidae;VU;ICMBIO 2018
Canthon corpulentus;Insecta;Coleoptera;Scarabaeidae;VU;ICMBIO 2018
Canthon quadripunctatus;Insecta;Coleoptera;Scarabaeidae;VU;ICMBIO 2018
Canthotrypes oberthueri;Insecta;Coleoptera;Scarabaeidae;DD;ICMBIO 2018
Coprophanaeus machadoi;Insecta;Coleoptera;Scarabaeidae;LC;ICMBIO 2018
Coprophanaeus punctatus;Insecta;Coleoptera;Scarabaeidae;LC;ICMBIO 2018
Coprophanaeus saphirinus;Insecta;Coleoptera;Scarabaeidae;LC;ICMBIO 2018
Deltochilum elevatum;Insecta;Coleoptera;Scarabaeidae;LC;ICMBIO 2018
Dichotomius buqueti;Insecta;Coleoptera;Scarabaeidae;LC;ICMBIO 2018
Dichotomius eucranioides;Insecta;Coleoptera;Scarabaeidae;EN;ICMBIO 2018
Dichotomius ingens;Insecta;Coleoptera;Scarabaeidae;LC;ICMBIO 2018
Dichotomius mysticus;Insecta;Coleoptera;Scarabaeidae;EN;ICMBIO 2018
Dichotomius opalescens;Insecta;Coleoptera;Scarabaeidae;LC;ICMBIO 2018
Dichotomius schiffleri;Insecta;Coleoptera;Scarabaeidae;EN;ICMBIO 2018
Dichotomius speciosus;Insecta;Coleoptera;Scarabaeidae;LC;ICMBIO 2018
Dichotomius superbus;Insecta;Coleoptera;Scarabaeidae;DD;ICMBIO 2018
Holocephalus sculptus;Insecta;Coleoptera;Scarabaeidae;LC;ICMBIO 2018
Homalotarsus impressus;Insecta;Coleoptera;Scarabaeidae;DD;ICMBIO 2018
Ontherus irinus;Insecta;Coleoptera;Scarabaeidae;NT;ICMBIO 2018
Oxysternon pteroderum;Insecta;Coleoptera;Scarabaeidae;NT;ICMBIO 2018
Pedaridium hirsutum;Insecta;Coleoptera;Scarabaeidae;VU;ICMBIO 2018
Phanaeus dejeani;Insecta;Coleoptera;Scarabaeidae;LC;ICMBIO 2018
Sulcophanaeus rhadamanthus;Insecta;Coleoptera;Scarabaeidae;LC;ICMBIO 2018
Anisocanthon pygmaeus;Insecta;Coleoptera;Scarabaeidae;DD;IUCN 2024
Anomiopus birai;Insecta;Coleoptera;Scarabaeidae;DD;IUCN 2024
Anomiopus bonariensis;Insecta;Coleoptera;Scarabaeidae;LC;IUCN 2024
Anomiopus caputipilus;Insecta;Coleoptera;Scarabaeidae;DD;IUCN 2024
Anomiopus gracilis;Insecta;Coleoptera;Scarabaeidae;DD;IUCN 2024
Anomiopus howdeni;Insecta;Coleoptera;Scarabaeidae;DD;IUCN 2024
Anomiopus laetus;Insecta;Coleoptera;Scarabaeidae;DD;IUCN 2024
Anomiopus lauropalui;Insecta;Coleoptera;Scarabaeidae;DD;IUCN 2024
Anomiopus nigrocoeruleus;Insecta;Coleoptera;Scarabaeidae;LC;IUCN 2024
Anomiopus parallelus;Insecta;Coleoptera;Scarabaeidae;LC;IUCN 2024
Anomiopus pictus;Insecta;Coleoptera;Scarabaeidae;DD;IUCN 2024
Anomiopus smaragdinus;Insecta;Coleoptera;Scarabaeidae;LC;IUCN 2024
Anomiopus soledari;Insecta;Coleoptera;Scarabaeidae;DD;IUCN 2024
Anomiopus virescens;Insecta;Coleoptera;Scarabaeidae;LC;IUCN 2024
Ateuchus carbonarius;Insecta;Coleoptera;Scarabaeidae;LC;IUCN 2024
Ateuchus laevicolle;Insecta;Coleoptera;Scarabaeidae;DD;IUCN 2024
Ateuchus latus;Insecta;Coleoptera;Scarabaeidae;LC;IUCN 2024
Ateuchus murrayi;Insecta;Coleoptera;Scarabaeidae;LC;IUCN 2024
Ateuchus puncticolle;Insecta;Coleoptera;Scarabaeidae;LC;IUCN 2024
Ateuchus romani;Insecta;Coleoptera;Scarabaeidae;DD;IUCN 2024
Ateuchus squalidus;Insecta;Coleoptera;Scarabaeidae;VU;IUCN 2024
