class;order;list;iucn_category;exp;obt
Insecta;Embioptera;IUCN;VU;1;0
Insecta;Embioptera;IUCN;EN;1;0
Insecta;Embioptera;IUCN;CR;1;0
Insecta;Embioptera;MMA;DD;5;0
Insecta;Embioptera;MMA;LC;48;0
Insecta;Embioptera;MMA;NT;1;0
Insecta;Embioptera;MMA;VU;1;0
Insecta;Embioptera;MMA;EN;1;0
Insecta;Embioptera;MMA;CR;1;0
Insecta;Ephemeroptera;ICMBIO;DD;83;12
Insecta;Ephemeroptera;ICMBIO;LC;311;45
Insecta;Ephemeroptera;ICMBIO;NT;4;2
Insecta;Ephemeroptera;ICMBIO;VU;12;7
Insecta;Ephemeroptera;ICMBIO;EN;11;2
Insecta;Ephemeroptera;ICMBIO;CR;9;0
Insecta;Ephemeroptera;IUCN;DD;116;0
Insecta;Ephemeroptera;IUCN;LC;286;0
Insecta;Ephemeroptera;IUCN;NT;5;0
Insecta;Ephemeroptera;IUCN;VU;10;0
Insecta;Ephemeroptera;IUCN;EN;8;0
Insecta;Ephemeroptera;IUCN;CR;7;0
Insecta;Ephemeroptera;MMA;DD;36;21
Insecta;Ephemeroptera;MMA;LC;366;367
Insecta;Ephemeroptera;MMA;NT;7;0
Insecta;Ephemeroptera;MMA;VU;8;6
Insecta;Ephemeroptera;MMA;EN;9;1
Insecta;Ephemeroptera;MMA;CR;6;0
Insecta;Hemiptera;ICMBIO;DD;1794;0
Insecta;Hemiptera;ICMBIO;LC;6699;3
Insecta;Hemiptera;ICMBIO;NT;93;0
Insecta;Hemiptera;ICMBIO;VU;263;0
Insecta;Hemiptera;ICMBIO;EN;239;0
Insecta;Hemiptera;ICMBIO;CR;185;0
Insecta;Hemiptera;IUCN;DD;2493;0
Insecta;Hemiptera;IUCN;LC;6159;0
Insecta;Hemiptera;IUCN;NT;102;0
Insecta;Hemiptera;IUCN;VU;223;0
Insecta;Hemiptera;IUCN;EN;167;0
Insecta;Hemiptera;IUCN;CR;149;0
Insecta;Hemiptera;MMA;DD;780;0
Insecta;Hemiptera;MMA;LC;7878;0
Insecta;Hemiptera;MMA;NT;148;0
Insecta;Hemiptera;MMA;VU;172;2
Insecta;Hemiptera;MMA;EN;196;0
Insecta;Hemiptera;MMA;CR;130;1
Insecta;Hymenoptera;ICMBIO;DD;2086;42
Insecta;Hymenoptera;ICMBIO;LC;7788;233
Insecta;Hymenoptera;ICMBIO;NT;108;6
Insecta;Hymenoptera;ICMBIO;VU;306;7
Insecta;Hymenoptera;ICMBIO;EN;278;9
Insecta;Hymenoptera;ICMBIO;CR;215;2
Insecta;Hymenoptera;IUCN;DD;2898;4
Insecta;Hymenoptera;IUCN;LC;7160;10
Insecta;Hymenoptera;IUCN;NT;119;3
Insecta;Hymenoptera;IUCN;VU;260;0
Insecta;Hymenoptera;IUCN;EN;195;1
Insecta;Hymenoptera;IUCN;CR;173;1
Insecta;Hymenoptera;MMA;DD;906;27
Insecta;Hymenoptera;MMA;LC;9158;313
Insecta;Hymenoptera;MMA;NT;172;7
Insecta;Hymenoptera;MMA;VU;200;6
Insecta;Hymenoptera;MMA;EN;228;8
Insecta;Hymenoptera;MMA;CR;152;2
Insecta;Lepidoptera;ICMBIO;DD;2745;32
Insecta;Lepidoptera;ICMBIO;LC;10250;221
Insecta;Lepidoptera;ICMBIO;NT;142;1
Insecta;Lepidoptera;ICMBIO;VU;403;11
Insecta;Lepidoptera;ICMBIO;EN;366;22
Insecta;Lepidoptera;ICMBIO;CR;283;20
Insecta;Lepidoptera;IUCN;DD;3815;1
Insecta;Lepidoptera;IUCN;LC;9423;40
Insecta;Lepidoptera;IUCN;NT;157;2
Insecta;Lepidoptera;IUCN;VU;342;3
Insecta;Lepidoptera;IUCN;EN;256;5
Insecta;Lepidoptera;IUCN;CR;228;1
Insecta;Lepidoptera;MMA;DD;1193;24
Insecta;Lepidoptera;MMA;LC;12053;829
Insecta;Lepidoptera;MMA;NT;226;10
Insecta;Lepidoptera;MMA;VU;263;13
Insecta;Lepidoptera;MMA;EN;299;28
