class;order;list;iucn_category;exp;obt
Reptilia;Testudines;MMA;VU;1;3
Reptilia;Testudines;MMA;EN;2;1
Reptilia;Testudines;MMA;CR;0;1
Aves;Accipitriformes;ICMBIO;DD;1;15
Aves;Accipitriformes;ICMBIO;LC;39;82
Aves;Accipitriformes;ICMBIO;NT;2;3
Aves;Accipitriformes;ICMBIO;VU;3;5
Aves;Accipitriformes;ICMBIO;EN;2;6
Aves;Accipitriformes;ICMBIO;CR;1;5
Aves;Accipitriformes;IUCN;DD;0;0
Aves;Accipitriformes;IUCN;LC;41;38
Aves;Accipitriformes;IUCN;NT;1;5
Aves;Accipitriformes;IUCN;VU;2;2
Aves;Accipitriformes;IUCN;EN;3;2
Aves;Accipitriformes;IUCN;CR;1;0
Aves;Accipitriformes;MMA;DD;0;0
Aves;Accipitriformes;MMA;LC;40;39
Aves;Accipitriformes;MMA;NT;1;1
Aves;Accipitriformes;MMA;VU;3;4
Aves;Accipitriformes;MMA;EN;2;2
Aves;Accipitriformes;MMA;CR;1;0
Aves;Anseriformes;ICMBIO;DD;1;1
Aves;Anseriformes;ICMBIO;LC;23;20
Aves;Anseriformes;ICMBIO;NT;1;0
Aves;Anseriformes;ICMBIO;VU;2;0
Aves;Anseriformes;ICMBIO;EN;1;0
Aves;Anseriformes;ICMBIO;CR;1;1
Aves;Anseriformes;IUCN;DD;0;0
Aves;Anseriformes;IUCN;LC;24;25
Aves;Anseriformes;IUCN;NT;1;1
Aves;Anseriformes;IUCN;VU;1;0
Aves;Anseriformes;IUCN;EN;2;0
Aves;Anseriformes;IUCN;CR;1;1
Aves;Anseriformes;MMA;DD;0;0
Aves;Anseriformes;MMA;LC;23;21
Aves;Anseriformes;MMA;NT;1;0
Aves;Anseriformes;MMA;VU;2;0
Aves;Anseriformes;MMA;EN;1;0
Aves;Anseriformes;MMA;CR;1;1
Aves;Apodiformes;ICMBIO;DD;3;4
Aves;Apodiformes;ICMBIO;LC;86;88
Aves;Apodiformes;ICMBIO;NT;4;0
Aves;Apodiformes;ICMBIO;VU;7;3
Aves;Apodiformes;ICMBIO;EN;4;5
Aves;Apodiformes;ICMBIO;CR;3;1
Aves;Apodiformes;IUCN;DD;0;0
Aves;Apodiformes;IUCN;LC;91;0
Aves;Apodiformes;IUCN;NT;2;0
Aves;Apodiformes;IUCN;VU;5;0
Aves;Apodiformes;IUCN;EN;7;0
Aves;Apodiformes;IUCN;CR;2;0
Aves;Apodiformes;MMA;DD;1;3
Aves;Apodiformes;MMA;LC;89;94
Aves;Apodiformes;MMA;NT;3;0
Aves;Apodiformes;MMA;VU;8;4
Aves;Apodiformes;MMA;EN;4;6
Aves;Apodiformes;MMA;CR;2;0
Aves;Caprimulgiformes;ICMBIO;DD;1;1
Aves;Caprimulgiformes;ICMBIO;LC;22;20
Aves;Caprimulgiformes;ICMBIO;NT;1;2
Aves;Caprimulgiformes;ICMBIO;VU;2;1
Aves;Caprimulgiformes;ICMBIO;EN;1;0
Aves;Caprimulgiformes;ICMBIO;CR;1;0
Aves;Caprimulgiformes;IUCN;DD;0;0
Aves;Caprimulgiformes;IUCN;LC;23;126
Aves;Caprimulgiformes;IUCN;NT;0;3
Aves;Caprimulgiformes;IUCN;VU;1;7
Aves;Caprimulgiformes;IUCN;EN;2;1
Aves;Caprimulgiformes;IUCN;CR;0;0
Aves;Caprimulgiformes;MMA;DD;0;1
Aves;Caprimulgiformes;MMA;LC;23;23
Aves;Caprimulgiformes;MMA;NT;1;1
Aves;Caprimulgiformes;MMA;VU;2;0
Aves;Caprimulgiformes;MMA;EN;1;2
Aves;Caprimulgiformes;MMA;CR;0;0
Aves;Cariamiformes;ICMBIO;DD;0;0
Aves;Cariamiformes;ICMBIO;LC;1;1
Aves;Cariamiformes;ICMBIO;NT;0;0
Aves;Cariamiformes;ICMBIO;VU;0;0
Aves;Cariamiformes;ICMBIO;EN;0;0
Aves;Cariamiformes;ICMBIO;CR;0;0
Aves;Cariamiformes;IUCN;DD;0;0
Aves;Cariamiformes;IUCN;LC;1;1
Aves;Cariamiformes;IUCN;NT;0;0
Aves;Cariamiformes;IUCN;VU;0;0
Aves;Cariamiformes;IUCN;EN;0;0
Aves;Cariamiformes;IUCN;CR;0;0
Aves;Cariamiformes;MMA;DD;0;0
Aves;Cariamiformes;MMA;LC;1;1
Aves;Cariamiformes;MMA;NT;0;0
Aves;Cariamiformes;MMA;VU;0;0
Aves;Cariamiformes;MMA;EN;0;0
Aves;Cariamiformes;MMA;CR;0;0
Aves;Cathartiformes;ICMBIO;DD;0;0
Aves;Cathartiformes;ICMBIO;LC;4;4
Aves;Cathartiformes;ICMBIO;NT;0;1
Aves;Cathartiformes;ICMBIO;VU;0;0
Aves;Cathartiformes;ICMBIO;EN;0;0
Aves;Cathartiformes;ICMBIO;CR;0;0
Aves;Cathartiformes;IUCN;DD;0;0
Aves;Cathartiformes;IUCN;LC;4;5
Aves;Cathartiformes;IUCN;NT;0;0
Aves;Cathartiformes;IUCN;VU;0;1
Aves;Cathartiformes;IUCN;EN;0;0
Aves;Cathartiformes;IUCN;CR;0;0
Aves;Cathartiformes;MMA;DD;0;0
Aves;Cathartiformes;MMA;LC;4;1
Aves;Cathartiformes;MMA;NT;0;0
Aves;Cathartiformes;MMA;VU;0;0
Aves;Cathartiformes;MMA;EN;0;0
Aves;Cathartiformes;MMA;CR;0;0
Aves;Charadriiformes;ICMBIO;DD;2;5
Aves;Charadriiformes;ICMBIO;LC;75;46
Aves;Charadriiformes;ICMBIO;NT;3;4
Aves;Charadriiformes;ICMBIO;VU;6;4
Aves;Charadriiformes;ICMBIO;EN;4;2
Aves;Charadriiformes;ICMBIO;CR;2;2
Aves;Charadriiformes;IUCN;DD;0;0
Aves;Charadriiformes;IUCN;LC;79;73
Aves;Charadriiformes;IUCN;NT;2;5
Aves;Charadriiformes;IUCN;VU;4;0
Aves;Charadriiformes;IUCN;EN;6;0
Aves;Charadriiformes;IUCN;CR;2;1
Aves;Charadriiformes;MMA;DD;1;1
Aves;Charadriiformes;MMA;LC;77;49
Aves;Charadriiformes;MMA;NT;2;2
Aves;Charadriiformes;MMA;VU;7;8
Aves;Charadriiformes;MMA;EN;4;3
Aves;Charadriiformes;MMA;CR;2;0
Aves;Ciconiiformes;ICMBIO;DD;0;0
Aves;Ciconiiformes;ICMBIO;LC;2;3
Aves;Ciconiiformes;ICMBIO;NT;0;0
Aves;Ciconiiformes;ICMBIO;VU;0;0
Aves;Ciconiiformes;ICMBIO;EN;0;0
Aves;Ciconiiformes;ICMBIO;CR;0;0
Aves;Ciconiiformes;IUCN;DD;0;0
Aves;Ciconiiformes;IUCN;LC;3;3
Aves;Ciconiiformes;IUCN;NT;0;0
Aves;Ciconiiformes;IUCN;VU;0;0
Aves;Ciconiiformes;IUCN;EN;0;0
Aves;Ciconiiformes;IUCN;CR;0;0
Aves;Ciconiiformes;MMA;DD;0;0
Aves;Ciconiiformes;MMA;LC;3;9
Aves;Ciconiiformes;MMA;NT;0;0
Aves;Ciconiiformes;MMA;VU;0;0
Aves;Ciconiiformes;MMA;EN;0;0
Aves;Ciconiiformes;MMA;CR;0;0
Aves;Columbiformes;ICMBIO;DD;1;1
Aves;Columbiformes;ICMBIO;LC;19;18
Aves;Columbiformes;ICMBIO;NT;1;0
Aves;Columbiformes;ICMBIO;VU;1;0
Aves;Columbiformes;ICMBIO;EN;1;0
Aves;Columbiformes;ICMBIO;CR;1;2
Aves;Columbiformes;IUCN;DD;0;0
Aves;Columbiformes;IUCN;LC;20;21
Aves;Columbiformes;IUCN;NT;0;0
Aves;Columbiformes;IUCN;VU;1;0
Aves;Columbiformes;IUCN;EN;2;0
Aves;Columbiformes;IUCN;CR;0;2
Aves;Columbiformes;MMA;DD;0;0
Aves;Columbiformes;MMA;LC;19;20
Aves;Columbiformes;MMA;NT;1;0
Aves;Columbiformes;MMA;VU;2;0
Aves;Columbiformes;MMA;EN;1;0
Aves;Columbiformes;MMA;CR;0;2
Aves;Coraciiformes;ICMBIO;DD;0;0
Aves;Coraciiformes;ICMBIO;LC;7;13
Aves;Coraciiformes;ICMBIO;NT;0;0
Aves;Coraciiformes;ICMBIO;VU;1;0
Aves;Coraciiformes;ICMBIO;EN;0;1
Aves;Coraciiformes;ICMBIO;CR;0;0
Aves;Coraciiformes;IUCN;DD;0;0
Aves;Coraciiformes;IUCN;LC;8;9
Aves;Coraciiformes;IUCN;NT;0;0
Aves;Coraciiformes;IUCN;VU;0;0
Aves;Coraciiformes;IUCN;EN;1;0
Aves;Coraciiformes;IUCN;CR;0;0
Aves;Coraciiformes;MMA;DD;0;0
Aves;Coraciiformes;MMA;LC;8;9
Aves;Coraciiformes;MMA;NT;0;0
Aves;Coraciiformes;MMA;VU;1;0
Aves;Coraciiformes;MMA;EN;0;1
Aves;Coraciiformes;MMA;CR;0;0
Aves;Cuculiformes;ICMBIO;DD;1;0
Aves;Cuculiformes;ICMBIO;LC;16;17
Aves;Cuculiformes;ICMBIO;NT;1;0
Aves;Cuculiformes;ICMBIO;VU;1;3
Aves;Cuculiformes;ICMBIO;EN;1;0
Aves;Cuculiformes;ICMBIO;CR;0;2
Aves;Cuculiformes;IUCN;DD;0;0
Aves;Cuculiformes;IUCN;LC;17;18
Aves;Cuculiformes;IUCN;NT;0;0
Aves;Cuculiformes;IUCN;VU;1;1
Aves;Cuculiformes;IUCN;EN;1;0
Aves;Cuculiformes;IUCN;CR;0;0
Aves;Cuculiformes;MMA;DD;0;0
Aves;Cuculiformes;MMA;LC;17;17
Aves;Cuculiformes;MMA;NT;0;0
Aves;Cuculiformes;MMA;VU;1;3
Aves;Cuculiformes;MMA;EN;1;1
Aves;Cuculiformes;MMA;CR;0;1
Aves;Eurypygiformes;ICMBIO;DD;0;0
Aves;Eurypygiformes;ICMBIO;LC;1;1
Aves;Eurypygiformes;ICMBIO;NT;0;0
Aves;Eurypygiformes;ICMBIO;VU;0;0
Aves;Eurypygiformes;ICMBIO;EN;0;0
Aves;Eurypygiformes;ICMBIO;CR;0;0
Aves;Eurypygiformes;IUCN;DD;0;0
Aves;Eurypygiformes;IUCN;LC;1;1
Aves;Eurypygiformes;IUCN;NT;0;0
Aves;Eurypygiformes;IUCN;VU;0;0
Aves;Eurypygiformes;IUCN;EN;0;0
Aves;Eurypygiformes;IUCN;CR;0;0
Aves;Eurypygiformes;MMA;DD;0;0
Aves;Eurypygiformes;MMA;LC;1;1
Aves;Eurypygiformes;MMA;NT;0;0
Aves;Eurypygiformes;MMA;VU;0;0
Aves;Eurypygiformes;MMA;EN;0;0
Aves;Eurypygiformes;MMA;CR;0;0
Aves;Falconiformes;ICMBIO;DD;1;0
Aves;Falconiformes;ICMBIO;LC;16;16
Aves;Falconiformes;ICMBIO;NT;1;2
Aves;Falconiformes;ICMBIO;VU;1;0
Aves;Falconiformes;ICMBIO;EN;1;0
Aves;Falconiformes;ICMBIO;CR;0;0
Aves;Falconiformes;IUCN;DD;0;0
Aves;Falconiformes;IUCN;LC;17;19
Aves;Falconiformes;IUCN;NT;0;1
Aves;Falconiformes;IUCN;VU;1;0
Aves;Falconiformes;IUCN;EN;1;0
Aves;Falconiformes;IUCN;CR;0;0
Aves;Falconiformes;MMA;DD;0;0
Aves;Falconiformes;MMA;LC;17;16
Aves;Falconiformes;MMA;NT;0;2
Aves;Falconiformes;MMA;VU;1;0
Aves;Falconiformes;MMA;EN;1;0
Aves;Falconiformes;MMA;CR;0;0
Aves;Galbuliformes;ICMBIO;DD;1;0
Aves;Galbuliformes;ICMBIO;LC;36;40
Aves;Galbuliformes;ICMBIO;NT;1;3
Aves;Galbuliformes;ICMBIO;VU;3;0
Aves;Galbuliformes;ICMBIO;EN;2;1
Aves;Galbuliformes;ICMBIO;CR;1;0
Aves;Galbuliformes;IUCN;DD;0;0
Aves;Galbuliformes;IUCN;LC;38;0
Aves;Galbuliformes;IUCN;NT;1;0
Aves;Galbuliformes;IUCN;VU;2;0
Aves;Galbuliformes;IUCN;EN;3;0
Aves;Galbuliformes;IUCN;CR;1;0
Aves;Galbuliformes;MMA;DD;0;0
Aves;Galbuliformes;MMA;LC;37;42
Aves;Galbuliformes;MMA;NT;1;1
Aves;Galbuliformes;MMA;VU;3;1
Aves;Galbuliformes;MMA;EN;2;1
Aves;Galbuliformes;MMA;CR;1;0
Aves;Galliformes;ICMBIO;DD;1;1
Aves;Galliformes;ICMBIO;LC;24;20
Aves;Galliformes;ICMBIO;NT;1;1
Aves;Galliformes;ICMBIO;VU;2;3
Aves;Galliformes;ICMBIO;EN;1;2
Aves;Galliformes;ICMBIO;CR;1;5
Aves;Galliformes;IUCN;DD;0;0
Aves;Galliformes;IUCN;LC;26;17
Aves;Galliformes;IUCN;NT;1;3
Aves;Galliformes;IUCN;VU;1;5
Aves;Galliformes;IUCN;EN;2;3
Aves;Galliformes;IUCN;CR;1;1
Aves;Galliformes;MMA;DD;0;0
Aves;Galliformes;MMA;LC;25;21
Aves;Galliformes;MMA;NT;1;1
Aves;Galliformes;MMA;VU;2;3
Aves;Galliformes;MMA;EN;1;3
Aves;Galliformes;MMA;CR;1;4
Aves;Gruiformes;ICMBIO;DD;1;4
Aves;Gruiformes;ICMBIO;LC;37;31
Aves;Gruiformes;ICMBIO;NT;2;2
Aves;Gruiformes;ICMBIO;VU;3;2
Aves;Gruiformes;ICMBIO;EN;2;1
Aves;Gruiformes;ICMBIO;CR;1;1
Aves;Gruiformes;IUCN;DD;0;0
Aves;Gruiformes;IUCN;LC;39;34
Aves;Gruiformes;IUCN;NT;1;0
Aves;Gruiformes;IUCN;VU;2;3
Aves;Gruiformes;IUCN;EN;3;2
Aves;Gruiformes;IUCN;CR;1;1
Aves;Gruiformes;MMA;DD;0;2
Aves;Gruiformes;MMA;LC;38;33
Aves;Gruiformes;MMA;NT;1;0
Aves;Gruiformes;MMA;VU;3;2
Aves;Gruiformes;MMA;EN;2;3
Aves;Gruiformes;MMA;CR;1;1
Aves;Nyctibiiformes;ICMBIO;DD;0;0
Aves;Nyctibiiformes;ICMBIO;LC;4;4
Aves;Nyctibiiformes;ICMBIO;NT;0;0
Aves;Nyctibiiformes;ICMBIO;VU;0;0
Aves;Nyctibiiformes;ICMBIO;EN;0;1
Aves;Nyctibiiformes;ICMBIO;CR;0;1
Aves;Nyctibiiformes;IUCN;DD;0;0
Aves;Nyctibiiformes;IUCN;LC;4;0
Aves;Nyctibiiformes;IUCN;NT;0;0
Aves;Nyctibiiformes;IUCN;VU;0;0
Aves;Nyctibiiformes;IUCN;EN;0;0
Aves;Nyctibiiformes;IUCN;CR;0;0
Aves;Nyctibiiformes;MMA;DD;0;0
Aves;Nyctibiiformes;MMA;LC;4;3
Aves;Nyctibiiformes;MMA;NT;0;0
Aves;Nyctibiiformes;MMA;VU;0;0
Aves;Nyctibiiformes;MMA;EN;0;1
Aves;Nyctibiiformes;MMA;CR;0;1
Aves;Opisthocomiformes;ICMBIO;DD;0;0
Aves;Opisthocomiformes;ICMBIO;LC;1;1
Aves;Opisthocomiformes;ICMBIO;NT;0;0
Aves;Opisthocomiformes;ICMBIO;VU;0;0
Aves;Opisthocomiformes;ICMBIO;EN;0;0
Aves;Opisthocomiformes;ICMBIO;CR;0;0
Aves;Opisthocomiformes;IUCN;DD;0;0
Aves;Opisthocomiformes;IUCN;LC;1;1
Aves;Opisthocomiformes;IUCN;NT;0;0
Aves;Opisthocomiformes;IUCN;VU;0;0
Aves;Opisthocomiformes;IUCN;EN;0;0
Aves;Opisthocomiformes;IUCN;CR;0;0
Aves;Opisthocomiformes;MMA;DD;0;0
Aves;Opisthocomiformes;MMA;LC;1;1
Aves;Opisthocomiformes;MMA;NT;0;0
Aves;Opisthocomiformes;MMA;VU;0;0
Aves;Opisthocomiformes;MMA;EN;0;0
Aves;Opisthocomiformes;MMA;CR;0;0
Aves;Passeriformes;ICMBIO;DD;29;15
Aves;Passeriformes;ICMBIO;LC;909;900
Aves;Passeriformes;ICMBIO;NT;38;29
Aves;Passeriformes;ICMBIO;VU;71;76
Aves;Passeriformes;ICMBIO;EN;44;37
Aves;Passeriformes;ICMBIO;CR;27;18
Aves;Passeriformes;IUCN;DD;1;1
Aves;Passeriformes;IUCN;LC;963;916
Aves;Passeriformes;IUCN;NT;20;55
Aves;Passeriformes;IUCN;VU;48;44
Aves;Passeriformes;IUCN;EN;77;20
Aves;Passeriformes;IUCN;CR;20;11
Aves;Passeriformes;MMA;DD;9;4
Aves;Passeriformes;MMA;LC;936;945
Aves;Passeriformes;MMA;NT;26;27
Aves;Passeriformes;MMA;VU;81;84
Aves;Passeriformes;MMA;EN;46;38
Aves;Passeriformes;MMA;CR;21;16
Aves;Pelecaniformes;ICMBIO;DD;1;0
Aves;Pelecaniformes;ICMBIO;LC;28;26
Aves;Pelecaniformes;ICMBIO;NT;1;0
Aves;Pelecaniformes;ICMBIO;VU;2;1
Aves;Pelecaniformes;ICMBIO;EN;1;0
Aves;Pelecaniformes;ICMBIO;CR;1;0
Aves;Pelecaniformes;IUCN;DD;0;0
Aves;Pelecaniformes;IUCN;LC;29;30
Aves;Pelecaniformes;IUCN;NT;1;1
Aves;Pelecaniformes;IUCN;VU;1;0
Aves;Pelecaniformes;IUCN;EN;2;0
Aves;Pelecaniformes;IUCN;CR;1;0
Aves;Pelecaniformes;MMA;DD;0;0
Aves;Pelecaniformes;MMA;LC;28;27
Aves;Pelecaniformes;MMA;NT;1;0
Aves;Pelecaniformes;MMA;VU;2;1
Aves;Pelecaniformes;MMA;EN;1;0
Aves;Pelecaniformes;MMA;CR;1;0
Aves;Phaethontiformes;ICMBIO;DD;0;0
Aves;Phaethontiformes;ICMBIO;LC;2;0
Aves;Phaethontiformes;ICMBIO;NT;0;0
Aves;Phaethontiformes;ICMBIO;VU;0;0
Aves;Phaethontiformes;ICMBIO;EN;0;2
Aves;Phaethontiformes;ICMBIO;CR;0;0
Aves;Phaethontiformes;IUCN;DD;0;0
Aves;Phaethontiformes;IUCN;LC;3;3
Aves;Phaethontiformes;IUCN;NT;0;0
Aves;Phaethontiformes;IUCN;VU;0;0
Aves;Phaethontiformes;IUCN;EN;0;0
Aves;Phaethontiformes;IUCN;CR;0;0
Aves;Phaethontiformes;MMA;DD;0;0
Aves;Phaethontiformes;MMA;LC;3;0
Aves;Phaethontiformes;MMA;NT;0;0
Aves;Phaethontiformes;MMA;VU;0;0
Aves;Phaethontiformes;MMA;EN;0;2
Aves;Phaethontiformes;MMA;CR;0;0
Aves;Phoenicopteriformes;ICMBIO;DD;0;1
Aves;Phoenicopteriformes;ICMBIO;LC;3;0
Aves;Phoenicopteriformes;ICMBIO;NT;0;0
Aves;Phoenicopteriformes;ICMBIO;VU;0;0
Aves;Phoenicopteriformes;ICMBIO;EN;0;0
Aves;Phoenicopteriformes;ICMBIO;CR;0;0
Aves;Phoenicopteriformes;IUCN;DD;0;0
Aves;Phoenicopteriformes;IUCN;LC;3;1
Aves;Phoenicopteriformes;IUCN;NT;0;1
Aves;Phoenicopteriformes;IUCN;VU;0;1
Aves;Phoenicopteriformes;IUCN;EN;0;0
Aves;Phoenicopteriformes;IUCN;CR;0;0
Aves;Phoenicopteriformes;MMA;DD;0;0
Aves;Phoenicopteriformes;MMA;LC;3;0
Aves;Phoenicopteriformes;MMA;NT;0;0
Aves;Phoenicopteriformes;MMA;VU;0;0
Aves;Phoenicopteriformes;MMA;EN;0;0
Aves;Phoenicopteriformes;MMA;CR;0;0
Aves;Piciformes;ICMBIO;DD;2;1
Aves;Piciformes;ICMBIO;LC;70;77
Aves;Piciformes;ICMBIO;NT;3;3
Aves;Piciformes;ICMBIO;VU;5;4
Aves;Piciformes;ICMBIO;EN;3;6
Aves;Piciformes;ICMBIO;CR;2;1
Aves;Piciformes;IUCN;DD;0;0
Aves;Piciformes;IUCN;LC;74;115
Aves;Piciformes;IUCN;NT;2;10
Aves;Piciformes;IUCN;VU;4;4
Aves;Piciformes;IUCN;EN;6;1
Aves;Piciformes;IUCN;CR;2;0
Aves;Piciformes;MMA;DD;1;1
Aves;Piciformes;MMA;LC;72;79
Aves;Piciformes;MMA;NT;2;2
Aves;Piciformes;MMA;VU;6;5
Aves;Piciformes;MMA;EN;4;3
Aves;Piciformes;MMA;CR;2;1
Aves;Podicipediformes;ICMBIO;DD;0;0
Aves;Podicipediformes;ICMBIO;LC;4;4
Aves;Podicipediformes;ICMBIO;NT;0;0
Aves;Podicipediformes;ICMBIO;VU;0;0
Aves;Podicipediformes;ICMBIO;EN;0;0
Aves;Podicipediformes;ICMBIO;CR;0;0
Aves;Podicipediformes;IUCN;DD;0;0
Aves;Podicipediformes;IUCN;LC;4;4
Aves;Podicipediformes;IUCN;NT;0;0
Aves;Podicipediformes;IUCN;VU;0;0
Aves;Podicipediformes;IUCN;EN;0;0
Aves;Podicipediformes;IUCN;CR;0;0
Aves;Podicipediformes;MMA;DD;0;0
Aves;Podicipediformes;MMA;LC;4;4
Aves;Podicipediformes;MMA;NT;0;0
Aves;Podicipediformes;MMA;VU;0;0
Aves;Podicipediformes;MMA;EN;0;0
Aves;Podicipediformes;MMA;CR;0;0
Aves;Procellariiformes;ICMBIO;DD;1;0
Aves;Procellariiformes;ICMBIO;LC;37;14
Aves;Procellariiformes;ICMBIO;NT;2;2
Aves;Procellariiformes;ICMBIO;VU;3;3
Aves;Procellariiformes;ICMBIO;EN;2;4
Aves;Procellariiformes;ICMBIO;CR;1;5
Aves;Procellariiformes;IUCN;DD;0;0
Aves;Procellariiformes;IUCN;LC;39;24
Aves;Procellariiformes;IUCN;NT;1;6
Aves;Procellariiformes;IUCN;VU;2;7
Aves;Procellariiformes;IUCN;EN;3;5
Aves;Procellariiformes;IUCN;CR;1;1
Aves;Procellariiformes;MMA;DD;0;1
Aves;Procellariiformes;MMA;LC;38;15
Aves;Procellariiformes;MMA;NT;1;2
Aves;Procellariiformes;MMA;VU;3;4
Aves;Procellariiformes;MMA;EN;2;4
Aves;Procellariiformes;MMA;CR;1;4
Aves;Psittaciformes;ICMBIO;DD;2;0
Aves;Psittaciformes;ICMBIO;LC;71;61
Aves;Psittaciformes;ICMBIO;NT;3;9
Aves;Psittaciformes;ICMBIO;VU;6;12
Aves;Psittaciformes;ICMBIO;EN;3;4
Aves;Psittaciformes;ICMBIO;CR;2;1
Aves;Psittaciformes;IUCN;DD;0;0
Aves;Psittaciformes;IUCN;LC;75;62
Aves;Psittaciformes;IUCN;NT;2;8
Aves;Psittaciformes;IUCN;VU;4;11
Aves;Psittaciformes;IUCN;EN;6;5
Aves;Psittaciformes;IUCN;CR;2;1
Aves;Psittaciformes;MMA;DD;1;2
Aves;Psittaciformes;MMA;LC;73;59
Aves;Psittaciformes;MMA;NT;2;4
Aves;Psittaciformes;MMA;VU;6;16
Aves;Psittaciformes;MMA;EN;4;4
Aves;Psittaciformes;MMA;CR;2;1
Aves;Rheiformes;ICMBIO;DD;0;0
Aves;Rheiformes;ICMBIO;LC;1;1
Aves;Rheiformes;ICMBIO;NT;0;0
Aves;Rheiformes;ICMBIO;VU;0;0
Aves;Rheiformes;ICMBIO;EN;0;0
Aves;Rheiformes;ICMBIO;CR;0;0
Aves;Rheiformes;IUCN;DD;0;0
Aves;Rheiformes;IUCN;LC;1;0
Aves;Rheiformes;IUCN;NT;0;1
Aves;Rheiformes;IUCN;VU;0;0
Aves;Rheiformes;IUCN;EN;0;0
Aves;Rheiformes;IUCN;CR;0;0
Aves;Rheiformes;MMA;DD;0;0
Aves;Rheiformes;MMA;LC;1;1
Aves;Rheiformes;MMA;NT;0;0
Aves;Rheiformes;MMA;VU;0;0
Aves;Rheiformes;MMA;EN;0;0
Aves;Rheiformes;MMA;CR;0;0
Aves;Sphenisciformes;ICMBIO;DD;0;0
Aves;Sphenisciformes;ICMBIO;LC;3;0
Aves;Sphenisciformes;ICMBIO;NT;0;1
Aves;Sphenisciformes;ICMBIO;VU;0;0
Aves;Sphenisciformes;ICMBIO;EN;0;0
Aves;Sphenisciformes;ICMBIO;CR;0;0
Aves;Sphenisciformes;IUCN;DD;0;0
Aves;Sphenisciformes;IUCN;LC;3;2
Aves;Sphenisciformes;IUCN;NT;0;0
Aves;Sphenisciformes;IUCN;VU;0;1
Aves;Sphenisciformes;IUCN;EN;0;0
Aves;Sphenisciformes;IUCN;CR;0;0
Aves;Sphenisciformes;MMA;DD;0;0
Aves;Sphenisciformes;MMA;LC;3;0
Aves;Sphenisciformes;MMA;NT;0;1
Aves;Sphenisciformes;MMA;VU;0;0
Aves;Sphenisciformes;MMA;EN;0;0
Aves;Sphenisciformes;MMA;CR;0;0
Aves;Steatornithiformes;ICMBIO;DD;0;0
Aves;Steatornithiformes;ICMBIO;LC;1;1
Aves;Steatornithiformes;ICMBIO;NT;0;0
Aves;Steatornithiformes;ICMBIO;VU;0;0
Aves;Steatornithiformes;ICMBIO;EN;0;0
Aves;Steatornithiformes;ICMBIO;CR;0;0
Aves;Steatornithiformes;IUCN;DD;0;0
Aves;Steatornithiformes;IUCN;LC;1;21
Aves;Steatornithiformes;IUCN;NT;0;0
Aves;Steatornithiformes;IUCN;VU;0;0
Aves;Steatornithiformes;IUCN;EN;0;0
Aves;Steatornithiformes;IUCN;CR;0;1
Aves;Steatornithiformes;MMA;DD;0;0
Aves;Steatornithiformes;MMA;LC;1;1
Aves;Steatornithiformes;MMA;NT;0;0
Aves;Steatornithiformes;MMA;VU;0;0
Aves;Steatornithiformes;MMA;EN;0;0
Aves;Steatornithiformes;MMA;CR;0;0
Aves;Strigiformes;ICMBIO;DD;1;0
Aves;Strigiformes;ICMBIO;LC;21;22
Aves;Strigiformes;ICMBIO;NT;1;0
Aves;Strigiformes;ICMBIO;VU;2;2
Aves;Strigiformes;ICMBIO;EN;1;0
Aves;Strigiformes;ICMBIO;CR;1;0
Aves;Strigiformes;IUCN;DD;0;0
Aves;Strigiformes;IUCN;LC;22;9
Aves;Strigiformes;IUCN;NT;0;0
Aves;Strigiformes;IUCN;VU;1;1
Aves;Strigiformes;IUCN;EN;2;1
Aves;Strigiformes;IUCN;CR;0;0
Aves;Strigiformes;MMA;DD;0;0
Aves;Strigiformes;MMA;LC;22;24
Aves;Strigiformes;MMA;NT;1;0
Aves;Strigiformes;MMA;VU;2;0
Aves;Strigiformes;MMA;EN;1;0
Aves;Strigiformes;MMA;CR;0;1
Aves;Suliformes;ICMBIO;DD;0;0
Aves;Suliformes;ICMBIO;LC;10;5
Aves;Suliformes;ICMBIO;NT;0;0
Aves;Suliformes;ICMBIO;VU;1;0
Aves;Suliformes;ICMBIO;EN;0;1
Aves;Suliformes;ICMBIO;CR;0;2
Aves;Suliformes;IUCN;DD;0;0
Aves;Suliformes;IUCN;LC;10;17
Aves;Suliformes;IUCN;NT;0;3
Aves;Suliformes;IUCN;VU;1;2
Aves;Suliformes;IUCN;EN;1;1
Aves;Suliformes;IUCN;CR;0;0
Aves;Suliformes;MMA;DD;0;0
Aves;Suliformes;MMA;LC;10;5
Aves;Suliformes;MMA;NT;0;0
Aves;Suliformes;MMA;VU;1;0
Aves;Suliformes;MMA;EN;0;1
Aves;Suliformes;MMA;CR;0;2
Aves;Tinamiformes;ICMBIO;DD;1;0
Aves;Tinamiformes;ICMBIO;LC;20;17
Aves;Tinamiformes;ICMBIO;NT;1;3
Aves;Tinamiformes;ICMBIO;VU;2;3
Aves;Tinamiformes;ICMBIO;EN;1;2
Aves;Tinamiformes;ICMBIO;CR;1;0
Aves;Tinamiformes;IUCN;DD;0;0
Aves;Tinamiformes;IUCN;LC;21;10
Aves;Tinamiformes;IUCN;NT;0;0
Aves;Tinamiformes;IUCN;VU;1;0
Aves;Tinamiformes;IUCN;EN;2;0
Aves;Tinamiformes;IUCN;CR;0;0
